contact_id,account_id,full_name,title,buying_role,email_open_rate,email_reply_count_90d,demo_requested,linkedin_engaged,avg_intent_score,icp_fit_score,trigger_event,existing_customer,contact_converted,true_conversion_prob,funnel_stage,funnel_stage_label
CON-0000000,ACC-001522,Kimberly Cooper,Paralegal,user_buyer,0.581,0,False,False,0.33,0.837,tech_refresh,False,0,0.3143,1,SQL
CON-0000001,ACC-000210,Christine Rice,Director of Operations,champion,0.188,0,False,False,0.41500000000000004,0.554,none,False,0,0.0715,0,MQL
CON-0000002,ACC-000321,Samantha Jacobs,Contracts Manager,user_buyer,0.557,1,False,False,0.8316666666666667,0.507,none,False,0,0.6346,2,Opportunity
CON-0000003,ACC-003196,Jennifer Hall,CISO,technical_validator,0.803,1,False,False,0.665,0.591,none,False,0,0.6488,2,Opportunity
CON-0000004,ACC-000208,Kevin Cabrera,Sales Rep,user_buyer,0.067,2,False,False,0.5533333333333333,1.0,none,False,0,0.3978,1,SQL
CON-0000005,ACC-002480,Brian Cooke,IT Security Manager,technical_validator,0.073,0,False,False,0.5516666666666666,0.781,compliance_mandate,False,1,0.1511,0,MQL
CON-0000006,ACC-003233,Leslie Cook,HR Coordinator,user_buyer,0.494,0,False,False,0.2,0.891,tech_refresh,False,1,0.2513,1,SQL
CON-0000007,ACC-001100,David Peterson,HR Coordinator,user_buyer,0.161,1,True,False,0.33,0.426,none,True,0,0.2443,1,SQL
CON-0000008,ACC-000474,Mark Pineda,CISO,technical_validator,0.394,2,False,False,0.665,0.452,none,False,0,0.5381,1,SQL
CON-0000009,ACC-002506,Justin Bowers,VP Engineering,technical_validator,0.224,2,False,False,0.7450000000000001,0.679,funding_round,False,0,0.4497,1,SQL
CON-0000010,ACC-004279,Alexis Jenkins,Paralegal,user_buyer,0.198,1,False,False,0.6625000000000001,1.0,none,False,0,0.4885,1,SQL
CON-0000011,ACC-002317,Jimmy Robinson,CISO,technical_validator,0.388,0,False,False,0.5533333333333333,0.815,funding_round,False,1,0.3961,1,SQL
CON-0000012,ACC-003713,Julie Kelley,Chief Legal Officer,economic_buyer,0.487,2,False,False,0.798,0.982,tech_refresh,False,0,0.7873,2,Opportunity
CON-0000013,ACC-002400,Nicole Gutierrez,Contracts Manager,user_buyer,0.395,2,False,False,0.6666666666666666,0.44,funding_round,False,0,0.5683,1,SQL
CON-0000014,ACC-001330,Stephen Garcia,Head of Sales Ops,champion,0.14,3,False,True,0.76,0.5,none,False,1,0.4833,1,SQL
CON-0000015,ACC-001337,Laura Riley,Sales Rep,user_buyer,0.123,0,False,False,0.6633333333333334,0.343,leadership_change,True,0,0.161,0,MQL
CON-0000016,ACC-001656,James Jackson,HR Coordinator,user_buyer,0.388,1,False,True,0.6642857142857144,0.721,none,False,0,0.2591,1,SQL
CON-0000017,ACC-001781,Amanda Duffy,Sales Rep,user_buyer,0.872,2,False,False,0.665,0.949,none,False,1,0.6305,2,Opportunity
CON-0000018,ACC-003713,Lynn Terrell,Head of Sales Ops,champion,0.442,0,False,True,0.8325,0.982,tech_refresh,False,0,0.6735,2,Opportunity
CON-0000019,ACC-002392,Charles Gibbs,Director of Operations,champion,0.535,0,False,True,0.555,0.438,none,False,0,0.4208,1,SQL
CON-0000020,ACC-002884,Janet Craig,Head of Sales Ops,champion,0.353,2,False,False,1.0,0.776,none,False,1,0.8144,2,Opportunity
CON-0000021,ACC-000638,Alexandra Levy,Legal Ops Manager,champion,0.597,4,False,False,0.66,0.414,none,False,0,0.5522,1,SQL
